,team,franchise,name
1,ATL,Atlanta Hawks,Hawks
2,BRK,Brooklyn Nets,Nets
3,BOS,Boston Celtics,Celtics
4,CHO,Charlotte Hornets,Hornets
5,CHI,Chicago Bulls,Bulls
6,CLE,Cleveland Cavaliers,Cavaliers
7,DAL,Dallas Mavericks,Mavericks
8,DEN,Denver Nuggets,Nuggets
9,DET,Detroit Pistons,Pistons
10,GSW,Golden State Warriors,Warriors
11,HOU,Houston Rockets,Rockets
12,IND,Indiana Pacers,Pacers
13,LAC,Los Angeles Clippers,Clippers
14,LAL,Los Angeles Lakers,Lakers
15,MEM,Memphis Grizzlies,Grizzlies
16,MIA,Miami Heat,Heat
17,MIL,Milwaukee Bucks,Bucks
18,MIN,Minnesota Timberwolves,Timberwolves
19,NOP,New Orleans Pelicans,Pelicans
20,NYK,New York Knicks,Knicks
21,OKC,Oklahoma City Thunder,Thunder
22,ORL,Orlando Magic,Magic
23,PHI,Philadelphia 76ers,76ers
24,PHO,Phoenix Suns,Suns
25,POR,Portland Trail Blazers,Trail Blazers
26,SAC,Sacramento Kings,Kings
27,SAS,San Antonio Spurs,Spurs
28,TOR,Toronto Raptors,Raptors
29,UTA,Utah Jazz,Jazz
30,WAS,Washington Wizards,Wizards
